"date","weighted","close","high","low","open","volume"
"2018-04-08 01:04:00","1.015092","1.03","1.05","0.9681","0.9799","4594574.29"
"2018-04-09 01:04:00","1.012271","0.9905","1.07","0.9622","1.03","5709691.75"
"2018-04-10 01:04:00","0.991423","1.01","1.02","0.96","0.9905","3431442.4"
"2018-04-11 01:04:00","1.032838","1.07","1.07","1","1.01","3787314.06"
"2018-04-12 01:04:00","1.231971","1.34","1.4","1.03","1.07","29622780.38"
"2018-04-13 01:04:00","1.399033","1.32","1.51","1.28","1.34","37946590.86"
"2018-04-14 01:04:00","1.376152","1.44","1.47","1.29","1.32","14221912.38"
"2018-04-15 01:04:00","1.599491","1.67","1.7","1.44","1.44","45012070.66"
"2018-04-16 01:04:00","1.584529","1.63","1.7","1.52","1.67","30914544.17"
"2018-04-17 01:04:00","1.607472","1.56","1.67","1.54","1.63","16905500.93"
"2018-04-18 01:04:00","1.628311","1.69","1.72","1.54","1.56","16980321.5"
"2018-04-19 01:04:00","1.711764","1.77","1.79","1.63","1.69","18256763.96"
"2018-04-20 01:04:00","1.890979","1.98","2.02","1.74","1.77","33020249.13"
"2018-04-21 01:04:00","1.895739","1.93","2.01","1.81","1.98","23749990.75"
"2018-04-22 01:04:00","2.03389","2","2.12","1.87","1.93","33994601.16"
"2018-04-23 01:04:00","2.114757","2.13","2.2","1.98","2","28679894.62"
"2018-04-24 01:04:00","2.175212","2.13","2.24","2.11","2.13","30339526.49"
"2018-04-25 01:04:00","1.894393","1.79","2.13","1.72","2.13","56529117.81"
"2018-04-26 01:04:00","1.882213","2.04","2.07","1.7","1.79","25359196.3"
"2018-04-27 01:04:00","1.997729","1.89","2.1","1.87","2.04","22323292.37"
"2018-04-28 01:04:00","2.025043","2.03","2.09","1.87","1.89","20824810.83"
"2018-04-29 01:04:00","2.024287","2.03","2.14","1.91","2.03","27630481.47"
"2018-04-30 01:04:00","1.972019","1.96","2.05","1.92","2.03","17033512.41"
